isolate_id,genotype,collection_time,zoe_genotype,location,profile_lab,PB2,PB1,PA,HA,NP,NA,MP,NS,genotypenew
EPI_ISL_13052433,A1,2022.247,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16243241,A1,2022.362,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16102166,A1,2022.288,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16102164,A1,2022.282,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16171249,A1,2022.296,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16171480,A1,2022.321,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16171402,A1,2022.301,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_15077373,A1,2022.296,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_15078261,A1,2022.296,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16171467,A1,2022.321,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16102163,A1,2022.282,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16171481,A1,2022.321,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16171325,A1,2022.296,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_15004381,A1,2022.274,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16243948,A1,2022.37,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_14098924,A2,2022.49,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_15214835,A2,2022.474,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_14098922,A2,2022.49,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_14098923,A2,2022.49,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16632510,A2,2022.515,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16632502,A2,2022.274,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16632512,A2,2022.512,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16641799,A2,2022.353,G3,NorthAmerica,A2.2,ea1,ea2,ea1,ea2,ea1,ea1,ea1,ea1,G7
EPI_ISL_16632522,A2,2022.532,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16632511,A2,2022.49,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16632520,A2,2022.526,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_13432800,A2,2022.255,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16632513,A2,2022.515,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16632501,A2,2022.247,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_13432788,A2,2022.255,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16021854,A2,2022.488,G3,NorthAmerica,A2.2,ea1,ea2,ea1,ea2,ea1,ea1,ea1,ea1,G7
EPI_ISL_16244526,A2,2022.392,G3,NorthAmerica,A2.2,ea1,ea2,ea1,ea2,ea1,ea1,ea1,ea1,G7
EPI_ISL_16632523,A2,2022.551,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16020774,A2,2022.392,G3,NorthAmerica,A2.2,ea1,ea2,ea1,ea2,ea1,ea1,ea1,ea1,G7
EPI_ISL_14098920,A2,2022.49,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_14098921,A2,2022.49,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16641785,A2,2022.449,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16632519,A2,2022.493,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16641787,A2,2022.468,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16641788,A2,2022.468,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_15214838,A2,2022.444,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16641786,A2,2022.449,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16641791,A2,2022.455,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16641792,A2,2022.471,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16020773,A2,2022.378,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16021587,A2,2022.392,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_14098919,A2,2022.485,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16641781,A2,2022.458,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16641782,A2,2022.463,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16632508,A2,2022.359,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16641784,A2,2022.444,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16632509,A2,2022.49,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16632537,A2,2022.501,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16632538,A2,2022.488,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16020772,A2,2022.392,G3,NorthAmerica,A2.2,ea1,ea2,ea1,ea2,ea1,ea1,ea1,ea1,G7
EPI_ISL_16632514,A2,2022.512,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16632515,A2,2022.49,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16632516,A2,2022.515,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16632517,A2,2022.515,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16632500,A2,2022.255,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16641780,A2,2022.447,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_14098917,A2,2022.471,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16632521,A2,2022.548,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16641789,A2,2022.452,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_14098916,A2,2022.477,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16641790,A2,2022.479,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_14098918,A2,2022.482,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16641779,A2,2022.444,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16632518,A2,2022.512,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16632539,A2,2022.515,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_15214841,A2,2022.474,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16641783,A2,2022.479,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16632542,A2,2022.534,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_14098915,A2,2022.477,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_15215193,A2,2022.444,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16632541,A2,2022.518,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_16632540,A2,2022.518,G3,NorthAmerica,A2,ea1,ea2,ea1,ea2,ea1,ea2,ea1,ea1,G7
EPI_ISL_17964937,A3,2023.263,G3,NorthAmerica,A3,ea3,ea3,ea3,ea3,ea3,ea3,ea3,ea5,G11
EPI_ISL_17964940,A3,2023.279,G3,NorthAmerica,A3,ea3,ea3,ea3,ea3,ea3,ea3,ea3,ea5,G11
EPI_ISL_17964943,A3,2023.274,G3,NorthAmerica,A3,ea3,ea3,ea3,ea3,ea3,ea3,ea3,ea5,G11
EPI_ISL_17964979,A3,2023.392,G3,NorthAmerica,A3,ea3,ea3,ea3,ea3,ea3,ea3,ea3,ea5,G11
EPI_ISL_18007229,A3,2023.29,G3,Asia,A3,ea3,ea3,ea3,ea3,ea3,ea3,ea3,ea5,G11
EPI_ISL_15614803,A3,2022.458,G3,Africa,A3.2,ea3,ea3,ea3,1,1,1,1,ea5,G11
EPI_ISL_15072539,A3,2022.288,G3,Asia,A3,ea3,ea3,ea3,ea3,ea3,ea3,ea3,ea5,G11
EPI_ISL_15072540,A3,2022.375,G3,Asia,A3,ea3,ea3,ea3,ea3,ea3,ea3,ea3,ea5,G11
EPI_ISL_15853935,A3,2022.712,G3,Africa,A3.2,ea3,ea3,ea3,1,1,1,1,ea5,G11
EPI_ISL_16676447,A3,2022.458,G3,Africa,A3.2,ea3,ea3,ea3,1,1,1,1,ea5,G11
EPI_ISL_15837655,A3,2022.773,G3,Africa,A3.3,ea3,ea3,ea1,ea3,1,1,1,ea5,G11
EPI_ISL_15853920,A3,2022.353,G3,Africa,A3.2,ea3,ea3,ea3,1,1,1,1,ea5,G11
EPI_ISL_14064890,A3,2022.247,G3,Asia,A3,ea3,ea3,ea3,ea3,ea3,ea3,ea3,ea5,G11
EPI_ISL_14070455,A3,2022.247,G3,Asia,A3,ea3,ea3,ea3,ea3,ea3,ea3,ea3,ea5,G11
EPI_ISL_15072538,A3,2022.288,G3,Asia,A3,ea3,ea3,ea3,ea3,ea3,ea3,ea3,ea5,G11
EPI_ISL_16297073,A3,2022.83,G3,NorthAmerica,A3,ea3,ea3,ea3,ea3,ea3,ea3,ea3,ea5,G11
EPI_ISL_16297074,A3,2022.83,G3,NorthAmerica,A3,ea3,ea3,ea3,ea3,ea3,ea3,ea3,ea5,G11
EPI_ISL_15576616,A3,2022.756,G3,Asia,A3,ea3,ea3,ea3,ea3,ea3,ea3,ea3,ea5,G11
EPI_ISL_16698477,A3,2023.027,G3,Asia,A3,ea3,ea3,ea3,ea3,ea3,ea3,ea3,ea5,G11
EPI_ISL_16698546,A3,2022.803,G3,Asia,A3,ea3,ea3,ea3,ea3,ea3,ea3,ea3,ea5,G11
EPI_ISL_16698576,A3,2022.885,G3,Asia,A3,ea3,ea3,ea3,ea3,ea3,ea3,ea3,ea5,G11
EPI_ISL_16698579,A3,2022.847,G3,Asia,A3,ea3,ea3,ea3,ea3,ea3,ea3,ea3,ea5,G11
EPI_ISL_16955748,A3,2022.896,G3,Asia,A3,ea3,ea3,ea3,ea3,ea3,ea3,ea3,ea5,G11
EPI_ISL_16955765,A3,2022.926,G3,Asia,A3,ea3,ea3,ea3,ea3,ea3,ea3,ea3,ea5,G11
EPI_ISL_16955798,A3,2022.874,G3,Asia,A3,ea3,ea3,ea3,ea3,ea3,ea3,ea3,ea5,G11
EPI_ISL_16955829,A3,2022.893,G3,Asia,A3,ea3,ea3,ea3,ea3,ea3,ea3,ea3,ea5,G11
EPI_ISL_17950253,A3,2023.241,G3,Asia,A3,ea3,ea3,ea3,ea3,ea3,ea3,ea3,ea5,G11
EPI_ISL_17964921,A3,2023.216,G3,NorthAmerica,A3,ea3,ea3,ea3,ea3,ea3,ea3,ea3,ea5,G11
EPI_ISL_17964930,A3,2023.241,G3,NorthAmerica,A3,ea3,ea3,ea3,ea3,ea3,ea3,ea3,ea5,G11
EPI_ISL_17964931,A3,2023.241,G3,NorthAmerica,A3,ea3,ea3,ea3,ea3,ea3,ea3,ea3,ea5,G11
EPI_ISL_17964935,A3,2023.263,G3,NorthAmerica,A3,ea3,ea3,ea3,ea3,ea3,ea3,ea3,ea5,G11
EPI_ISL_17964936,A3,2023.263,G3,NorthAmerica,A3,ea3,ea3,ea3,ea3,ea3,ea3,ea3,ea5,G11
EPI_ISL_13432826,B1,2022.255,G7,NorthAmerica,B1.1,am1.1,am1.1,ea1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_15063839,B1,2022.285,G7,NorthAmerica,B1.1,am1.1,am1.1,ea1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_15063841,B1,2022.293,G7,NorthAmerica,B1.1,am1.1,am1.1,ea1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_16240221,B1,2022.351,G7,NorthAmerica,B1.1,am1.1,am1.1,ea1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_13432814,B1,2022.255,G7,NorthAmerica,B1.1,am1.1,am1.1,ea1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_16173542,B1,2022.255,G7,NorthAmerica,B1.1,am1.1,am1.1,ea1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_13433423,B1,2022.258,G7,NorthAmerica,B1.1,am1.1,am1.1,ea1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_16173549,B1,2022.263,G7,NorthAmerica,B1.1,am1.1,am1.1,ea1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_16171450,B1,2022.312,G5,NorthAmerica,B1.2,am1.1,am1.1,am1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_16171451,B1,2022.312,G5,NorthAmerica,B1.2,am1.1,am1.1,am1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_16171452,B1,2022.312,G5,NorthAmerica,B1.2,am1.1,am1.1,am1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_15077376,B1,2022.285,G7,NorthAmerica,B1.1,am1.1,am1.1,ea1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_14553997,B1,2022.359,G5,NorthAmerica,B1.2,am1.1,am1.1,am1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_16171497,B1,2022.326,G7,NorthAmerica,B1.1,am1.1,am1.1,ea1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_15004054,B1,2022.263,G5,NorthAmerica,B1.2,am1.1,am1.1,am1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_15078244,B1,2022.337,G5,NorthAmerica,B1.2,am1.1,am1.1,am1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_15078245,B1,2022.304,G5,NorthAmerica,B1.2,am1.1,am1.1,am1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_15078250,B1,2022.395,G5,NorthAmerica,B1.2,am1.1,am1.1,am1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_14533193,B1,2022.255,G7,NorthAmerica,B1.1,am1.1,am1.1,ea1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_16003275,B1,2022.318,G5,NorthAmerica,B1.2,am1.1,am1.1,am1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_16003281,B1,2022.34,G5,NorthAmerica,B1.2,am1.1,am1.1,am1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_16102155,B1,2022.279,G7,NorthAmerica,B1.1,am1.1,am1.1,ea1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_15004053,B1,2022.263,G5,NorthAmerica,B1.2,am1.1,am1.1,am1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_16014368,B1,2022.304,G5,NorthAmerica,B1.2,am1.1,am1.1,am1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_13433400,B1,2022.255,G5,NorthAmerica,B1.2,am1.1,am1.1,am1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_16173545,B1,2022.255,G7,NorthAmerica,B1.1,am1.1,am1.1,ea1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_16014527,B1,2022.304,G5,NorthAmerica,B1.2,am1.1,am1.1,am1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_16014529,B1,2022.304,G5,NorthAmerica,B1.2,am1.1,am1.1,am1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_16014445,B1,2022.279,G5,NorthAmerica,B1.2,am1.1,am1.1,am1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_16102156,B1,2022.279,G5,NorthAmerica,B1.2,am1.1,am1.1,am1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_16013982,B1,2022.378,G5,NorthAmerica,B1.2,am1.1,am1.1,am1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_15077377,B1,2022.288,G7,NorthAmerica,B1.1,am1.1,am1.1,ea1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_16101526,B1,2022.277,G5,NorthAmerica,B1.2,am1.1,am1.1,am1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_16102154,B1,2022.279,G7,NorthAmerica,B1.1,am1.1,am1.1,ea1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_16102161,B1,2022.282,G5,NorthAmerica,B1.2,am1.1,am1.1,am1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_16171496,B1,2022.326,G7,NorthAmerica,B1.1,am1.1,am1.1,ea1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_16102162,B1,2022.282,G5,NorthAmerica,B1.2,am1.1,am1.1,am1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_16102281,B1,2022.29,G5,NorthAmerica,B1.2,am1.1,am1.1,am1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_16102282,B1,2022.29,G5,NorthAmerica,B1.2,am1.1,am1.1,am1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_16171449,B1,2022.312,G5,NorthAmerica,B1.2,am1.1,am1.1,am1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_16271865,B1,2022.874,G5,NorthAmerica,B1.3,am1.3,am1.3,am1.2,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_16297061,B1,2022.737,G5,NorthAmerica,B1.3,am1.3,am1.3,am1.2,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_16297065,B1,2022.827,G5,NorthAmerica,B1.3,am1.3,am1.3,am1.2,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_16171453,B1,2022.312,G5,NorthAmerica,B1.2,am1.1,am1.1,am1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_16171461,B1,2022.315,G5,NorthAmerica,B1.2,am1.1,am1.1,am1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_15078239,B1,2022.301,G7,NorthAmerica,B1.1,am1.1,am1.1,ea1,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_16297077,B1,2022.833,G5,NorthAmerica,B1.3,am1.3,am1.3,am1.2,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_16297082,B1,2022.838,G5,NorthAmerica,B1.3,am1.3,am1.3,am1.2,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_16297083,B1,2022.838,G5,NorthAmerica,B1.3,am1.3,am1.3,am1.2,ea1,am1.2,ea1,ea1,ea1,G5
EPI_ISL_16297084,B1,2022.847,G5,NorthAmerica,B1.3,am1.3,am1.3,am1.2,ea1,am1.2,ea1,ea1,ea1,G5
