genotype	PB2	PB1	PA	NP	NAseg	MP	NS	x	name	label_name	Newgenotype
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15088309|Avian|H5N1|2022.644|Europe|A/Mallard/Netherlands/6/2022	A/Mallard/Netherlands/6/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15234366|Avian|H5N1|2022.438|Europe|A/duck/Spain/2095-2_22VIR8632-5/2022	A/duck/Spain/2095-2_22VIR8632-5/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15234656|Avian|H5N1|2022.436|Europe|A/bearded_vulture/Spain/2116-3_22VIR8632-8/2022	A/bearded_vulture/Spain/2116-3_22VIR8632-8/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15234364|Avian|H5N1|2022.622|Europe|A/chicken/Spain/2854-5_22VIR8632-3/2022	A/chicken/Spain/2854-5_22VIR8632-3/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15234365|Avian|H5N1|2022.622|Europe|A/chicken/Spain/2854-7_22VIR8632-4/2022	A/chicken/Spain/2854-7_22VIR8632-4/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15234356|Avian|H5N1|2022.49|Europe|A/Anser_anser/Spain/2636-3_22VIR8632-11/2022	A/Anser_anser/Spain/2636-3_22VIR8632-11/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15267016|Avian|H5N1|2022.455|Europe|A/Eurasian_Spoonbill/Netherlands/7/2022	A/Eurasian_Spoonbill/Netherlands/7/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15267017|Avian|H5N1|2022.663|Europe|A/Eurasian_Spoonbill/Netherlands/8/2022	A/Eurasian_Spoonbill/Netherlands/8/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15267018|Avian|H5N1|2022.663|Europe|A/Greylag_Goose/Netherlands/14/2022	A/Greylag_Goose/Netherlands/14/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15234361|Avian|H5N1|2022.658|Europe|A/turkey/Spain/2996-43_22VIR8632-21/2022	A/turkey/Spain/2996-43_22VIR8632-21/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15267020|Avian|H5N1|2022.668|Europe|A/Greylag_Goose/Netherlands/16/2022	A/Greylag_Goose/Netherlands/16/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15267021|Avian|H5N1|2022.668|Europe|A/Common_Tern/Netherlands/27/2022	A/Common_Tern/Netherlands/27/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15267022|Avian|H5N1|2022.671|Europe|A/European_Herring_Gull/Netherlands/16/2022	A/European_Herring_Gull/Netherlands/16/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15699799|Avian|H5N1|2022.748|Europe|A/Gallus_gallus/Belgium/11445_0002/2022	A/Gallus_gallus/Belgium/11445_0002/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15699929|Avian|H5N1|2022.773|Europe|A/Gallus_gallus/Belgium/11943_0003/2022	A/Gallus_gallus/Belgium/11943_0003/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_13300319|Avian|H5N1|2022.397|Europe|A/brant_goose/Netherlands/22009881-002/2022	A/brant_goose/Netherlands/22009881-002/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15267012|Avian|H5N1|2022.674|Europe|A/Lesser_Black-backed_Gull/Netherlands/4/2022	A/Lesser_Black-backed_Gull/Netherlands/4/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_16937303|Avian|H5N1|2022.937|Europe|A/chicken/Czech_Republic/22968-2/2022	A/chicken/Czech_Republic/22968-2/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15267014|Avian|H5N1|2022.455|Europe|A/Eurasian_Spoonbill/Netherlands/6/2022	A/Eurasian_Spoonbill/Netherlands/6/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_13370919|Avian|H5N1|2022.255|Europe|A/domestic_goose/England/041268/2022	A/domestic_goose/England/041268/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15364794|Avian|H5N1|2022.734|Europe|A/Mallard/Netherlands/13/2022	A/Mallard/Netherlands/13/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_13370921|Avian|H5N1|2022.26|Europe|A/domestic_duck/England/042266/2022	A/domestic_duck/England/042266/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15267019|Avian|H5N1|2022.668|Europe|A/Greylag_Goose/Netherlands/15/2022	A/Greylag_Goose/Netherlands/15/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_13370923|Avian|H5N1|2022.277|Europe|A/chicken/England/046274/2022	A/chicken/England/046274/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15535272|Avian|H5N1|2022.718|Europe|A/domestic_goose/Poland/H397-N/2022	A/domestic_goose/Poland/H397-N/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_13398725|Avian|H5N1|2022.427|Europe|A/sandwich_tern/Netherlands/22010444-001/2022	A/sandwich_tern/Netherlands/22010444-001/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_13398726|Avian|H5N1|2022.436|Europe|A/sandwich_tern/Netherlands/22010726-001/2022	A/sandwich_tern/Netherlands/22010726-001/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_13398727|Avian|H5N1|2022.441|Europe|A/sandwich_tern/Netherlands/22010732-002/2022	A/sandwich_tern/Netherlands/22010732-002/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_13429290|Avian|H5N1|2022.419|Europe|A/Caspian_Gull/Netherlands/4/2022	A/Caspian_Gull/Netherlands/4/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_13429291|Avian|H5N1|2022.427|Europe|A/Sandwich_Tern/Netherlands/8/2022	A/Sandwich_Tern/Netherlands/8/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15267013|Avian|H5N1|2022.455|Europe|A/Eurasian_Spoonbill/Netherlands/5/2022	A/Eurasian_Spoonbill/Netherlands/5/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_13429293|Avian|H5N1|2022.419|Europe|A/Black-headed_gull/Netherlands/5/2022	A/Black-headed_gull/Netherlands/5/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_13429294|Avian|H5N1|2022.419|Europe|A/Black-headed_gull/Netherlands/6/2022	A/Black-headed_gull/Netherlands/6/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_13429295|Avian|H5N1|2022.422|Europe|A/Sandwich_Tern/Netherlands/1/2022	A/Sandwich_Tern/Netherlands/1/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_13429296|Avian|H5N1|2022.419|Europe|A/Sandwich_Tern/Netherlands/2/2022	A/Sandwich_Tern/Netherlands/2/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_13429297|Avian|H5N1|2022.419|Europe|A/Sandwich_Tern/Netherlands/3/2022	A/Sandwich_Tern/Netherlands/3/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_13429298|Avian|H5N1|2022.419|Europe|A/Common_Tern/Netherlands/1/2022	A/Common_Tern/Netherlands/1/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_13429299|Avian|H5N1|2022.427|Europe|A/Sandwich_Tern/Netherlands/6/2022	A/Sandwich_Tern/Netherlands/6/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_13429300|Avian|H5N1|2022.427|Europe|A/Sandwich_Tern/Netherlands/7/2022	A/Sandwich_Tern/Netherlands/7/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15857842|Avian|H5N1|2022.855|Europe|A/swan/Italy/22VIR10995-7/2022	A/swan/Italy/22VIR10995-7/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15581792|Avian|H5N1|2022.781|Europe|A/Mallard/Netherlands/22/2022	A/Mallard/Netherlands/22/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15857844|Avian|H5N1|2022.855|Europe|A/turkey/Italy/22VIR11056-4/2022	A/turkey/Italy/22VIR11056-4/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15585749|Avian|H5N1|2022.762|Europe|A/Chicken/England/127733/2022	A/Chicken/England/127733/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_13429292|Avian|H5N1|2022.427|Europe|A/Sandwich_Tern/Netherlands/5/2022	A/Sandwich_Tern/Netherlands/5/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15585751|Avian|H5N1|2022.764|Europe|A/Chicken/England/128321/2022	A/Chicken/England/128321/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15585752|Avian|H5N1|2022.767|Europe|A/Chicken/England/128527/2022	A/Chicken/England/128527/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15585753|Avian|H5N1|2022.773|Europe|A/Chicken/England/129627/2022	A/Chicken/England/129627/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15585754|Avian|H5N1|2022.773|Europe|A/Chicken/England/129733/2022	A/Chicken/England/129733/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15585755|Avian|H5N1|2022.773|Europe|A/Chicken/England/129801/2022	A/Chicken/England/129801/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15585757|Avian|H5N1|2022.795|Europe|A/Chicken/England/134205/2022	A/Chicken/England/134205/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15585758|Avian|H5N1|2022.797|Europe|A/Chicken/England/134843/2022	A/Chicken/England/134843/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15585759|Avian|H5N1|2022.775|Europe|A/Chicken/Scotland/1302218/2022	A/Chicken/Scotland/1302218/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15585760|Avian|H5N1|2022.759|Europe|A/Domestic_Goose/England/127100/2022	A/Domestic_Goose/England/127100/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15585761|Avian|H5N1|2022.775|Europe|A/Domestic_Goose/England/130370/2022	A/Domestic_Goose/England/130370/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15585762|Avian|H5N1|2022.762|Europe|A/Guinea_Fowl/England/127733/2022	A/Guinea_Fowl/England/127733/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15585763|Avian|H5N1|2022.762|Europe|A/Turkey/England/127741/2022	A/Turkey/England/127741/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15585750|Avian|H5N1|2022.762|Europe|A/Chicken/England/127861/2022	A/Chicken/England/127861/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_17015362|Avian|H5N1|2023.126|Europe|A/chicken/Czech_Republic/2750-3/2023	A/chicken/Czech_Republic/2750-3/2023_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_13370918|Avian|H5N1|2022.255|Europe|A/domestic_duck/England/041295/2022	A/domestic_duck/England/041295/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15585840|Avian|H5N1|2022.773|Europe|A/Turkey/England/129898/2022	A/Turkey/England/129898/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15585841|Avian|H5N1|2022.773|Europe|A/Turkey/England/129968/2022	A/Turkey/England/129968/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15585842|Avian|H5N1|2022.773|Europe|A/Turkey/England/130038/2022	A/Turkey/England/130038/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_14233931|Avian|H5N1|2022.532|Europe|A/Common_Tern/Netherlands/15/2022	A/Common_Tern/Netherlands/15/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15585844|Avian|H5N1|2022.775|Europe|A/Turkey/England/130299/2022	A/Turkey/England/130299/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15585856|Avian|H5N1|2022.71|Europe|A/chicken/England/118828/2022	A/chicken/England/118828/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_14393097|Canine|H5N1|2022.249|Europe|A/Fox/Netherlands/EMC4/2022	A/Fox/Netherlands/EMC4/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15585858|Avian|H5N1|2022.715|Europe|A/chicken/England/119017/2022	A/chicken/England/119017/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15585861|Avian|H5N1|2022.726|Europe|A/chicken/England/121695/2022	A/chicken/England/121695/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15585862|Avian|H5N1|2022.726|Europe|A/chicken/England/121771/2022	A/chicken/England/121771/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15585863|Avian|H5N1|2022.737|Europe|A/chicken/England/123195/2022	A/chicken/England/123195/2022_{G1}	G1
